pid,ad_title,target_age_group,target_gender,target_mood,target_weather
SNY491559,Teen Girl Swimming Blazer,10-18,Female,neutral,sunny
RNY767151,Women's Raincoat Basic,40-64,Female,Angry,rainy
RNY612736,Men's Rain Boots Elegant,18-39,Male,Happy,rainy
RNY406102,Women's Rubber Boots,18-39,Female,neutral,rainy
RNY493071,Girls Wet Weather Outfit,Kids,Female,Angry,rainy
RNY436998,Men's Raincoat Formal,40-64,Male,Sad,rainy
SNY254775,Girls Swimming Shoes,Kids,Female,Happy,sunny
SNY589251,Women's Swimming Outfit,40-64,Female,Happy,sunny
RNY209854,Senior Men's Water Repellent Jacket,65+,Male,Angry,rainy
SNY835575,Teen Boy Beach Volleyball Dress,10-18,Male,Happy,sunny
CLD277443,Senior Women's Knit Skirt,65+,Female,Angry,cold
RNY304072,Men's Water Repellent Hoodie,40-64,Male,Angry,rainy
SNY976950,Women's Summer Vest,40-64,Female,Happy,sunny
RNY204729,Women's Rain Jacket Simple,18-39,Female,Happy,rainy
CLD648286,Girls Beanie Sport,Kids,Female,Happy,cold
CLD637257,Teen Girl Snow Boots,10-18,Female,neutral,cold
CLD397148,Senior Women's Fleece Top,65+,Female,Angry,cold
SNY957710,Kids Sun Hat Basic,Kids,Male,Happy,sunny
CLD135727,Senior Women's Gloves Simple,65+,Female,neutral,cold
RNY286108,Women's Water Resistant Bag,18-39,Female,neutral,rainy
SNY737086,Teen Boy Running Shorts,10-18,Male,Angry,sunny
RNY766315,Senior Men's Rain Jacket Elegant,65+,Male,Sad,rainy
SNY288783,Senior Men's Cotton Top,65+,Male,Happy,sunny
RNY552185,Men's Water Repellent Outfit,18-39,Male,Angry,rainy
RNY187484,Senior Men's Galoshes,65+,Male,Sad,rainy
SNY925206,Kids Linen Dress,Kids,Male,Sad,sunny
CLD206388,Women's Thermal Coat,18-39,Female,neutral,cold
SNY158522,Senior Women's Sunglasses Designer,65+,Female,Sad,sunny
RNY983289,Senior Women's Water Repellent Coat,65+,Female,Angry,rainy
RNY545192,Senior Men's Waterproof Top,65+,Male,neutral,rainy
SNY388321,Teen Girl Swimming Shirt,10-18,Female,Sad,sunny
CLD839175,Kids Thermal Shirt,Kids,Male,neutral,cold
CLD464847,Women's Thermal Hoodie,40-64,Female,Happy,cold
SNY930248,Kids Linen Outfit,Kids,Male,Happy,sunny
SNY480632,Senior Women's Linen Vest,65+,Female,Angry,sunny
CLD587687,Senior Women's Sweater Sport,65+,Female,Sad,cold
SNY520345,Senior Women's Lightweight Shirt,65+,Female,Angry,sunny
CLD995459,Women's Sweater Modern,40-64,Female,Sad,cold
SNY613832,Girls Sun Hat Fashion,Kids,Female,Sad,sunny
RNY134608,Men's Water Repellent Vest,18-39,Male,neutral,rainy
SNY649437,Senior Men's Beach Volleyball Outfit,65+,Male,neutral,sunny
SNY555730,Teen Boy Sun Hat Modern,10-18,Male,Angry,sunny
CLD694031,Men's Insulated Suit,18-39,Male,Angry,cold
SNY499941,Senior Men's Tennis Vest,65+,Male,Sad,sunny
RNY827021,Men's Water Resistant Blazer,18-39,Male,neutral,rainy
SNY512175,Girls Sun Hat Simple,Kids,Female,Happy,sunny
SNY840255,Teen Boy Lightweight Dress,10-18,Male,neutral,sunny
RNY783899,Teen Boy Rain Boots Fashion,10-18,Male,neutral,rainy
SNY177667,Men's Swimming Coat,18-39,Male,Sad,sunny
CLD997065,Women's Heavy Coat,18-39,Female,neutral,cold
SNY378001,Teen Girl Lightweight Dress,10-18,Female,neutral,sunny
SNY466754,Women's Cotton Jacket,18-39,Female,Happy,sunny
CLD986284,Men's Winter Boots,40-64,Male,neutral,cold
SNY721549,Women's Beach Volleyball Suit,40-64,Female,Angry,sunny
CLD353197,Senior Women's Insulated Bag,65+,Female,Angry,cold
CLD981820,Girls Fleece Skirt,Kids,Female,neutral,cold
CLD911317,Senior Women's Winter Jacket Modern,65+,Female,Angry,cold
RNY137791,Teen Girl Umbrella Designer,10-18,Female,Sad,rainy
SNY361063,Teen Boy Cotton Suit,10-18,Male,neutral,sunny
SNY581141,Men's Sun Hat Premium,18-39,Male,neutral,sunny
CLD597920,Men's Gloves Elegant,40-64,Male,Happy,cold
RNY262180,Senior Women's Rain Boots Designer,65+,Female,neutral,rainy
RNY161432,Senior Men's Wet Weather Outfit,65+,Male,Sad,rainy
SNY855917,Men's Lightweight Skirt,40-64,Male,Sad,sunny
CLD287891,Women's Sweater Designer,18-39,Female,Sad,cold
RNY784739,Women's Water Resistant Coat,40-64,Female,Angry,rainy
